activity,country,legal_status,notes,topic
bring alcohol into a country,Peru,legal,Estimated legal status based on general regulations. Verify locally.,travel
bring food into a country,Peru,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing cash into a country,Peru,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing duty free goods,Peru,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing electronics into a country,Peru,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing medication into a country,Peru,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing tobacco into a country,Peru,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing weapons in luggage,Peru,illegal,Estimated legal status based on general regulations. Verify locally.,travel
carrying prescription drugs,Peru,legal,Estimated legal status based on general regulations. Verify locally.,travel
declaring goods at customs,Peru,legal,Estimated legal status based on general regulations. Verify locally.,travel
