activity,country,legal_status,notes,topic
bring alcohol into a country,Qatar,legal,Estimated legal status based on general regulations. Verify locally.,travel
bring food into a country,Qatar,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing cash into a country,Qatar,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing duty free goods,Qatar,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing electronics into a country,Qatar,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing medication into a country,Qatar,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing tobacco into a country,Qatar,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing weapons in luggage,Qatar,illegal,Estimated legal status based on general regulations. Verify locally.,travel
carrying prescription drugs,Qatar,legal,Estimated legal status based on general regulations. Verify locally.,travel
declaring goods at customs,Qatar,legal,Estimated legal status based on general regulations. Verify locally.,travel
