activity,country,legal_status,notes,topic
bring alcohol into a country,Romania,legal,Estimated legal status based on general regulations. Verify locally.,travel
bring food into a country,Romania,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing cash into a country,Romania,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing duty free goods,Romania,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing electronics into a country,Romania,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing medication into a country,Romania,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing tobacco into a country,Romania,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing weapons in luggage,Romania,illegal,Estimated legal status based on general regulations. Verify locally.,travel
carrying prescription drugs,Romania,legal,Estimated legal status based on general regulations. Verify locally.,travel
declaring goods at customs,Romania,legal,Estimated legal status based on general regulations. Verify locally.,travel
