activity,country,legal_status,notes,topic
bring alcohol into a country,Saudi Arabia,legal,Estimated legal status based on general regulations. Verify locally.,travel
bring food into a country,Saudi Arabia,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing cash into a country,Saudi Arabia,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing duty free goods,Saudi Arabia,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing electronics into a country,Saudi Arabia,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing medication into a country,Saudi Arabia,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing tobacco into a country,Saudi Arabia,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing weapons in luggage,Saudi Arabia,illegal,Estimated legal status based on general regulations. Verify locally.,travel
carrying prescription drugs,Saudi Arabia,legal,Estimated legal status based on general regulations. Verify locally.,travel
declaring goods at customs,Saudi Arabia,legal,Estimated legal status based on general regulations. Verify locally.,travel
