activity,country,legal_status,notes,topic
bring alcohol into a country,Singapore,legal,Estimated legal status based on general regulations. Verify locally.,travel
bring food into a country,Singapore,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing cash into a country,Singapore,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing duty free goods,Singapore,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing electronics into a country,Singapore,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing medication into a country,Singapore,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing tobacco into a country,Singapore,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing weapons in luggage,Singapore,illegal,Estimated legal status based on general regulations. Verify locally.,travel
carrying prescription drugs,Singapore,legal,Estimated legal status based on general regulations. Verify locally.,travel
declaring goods at customs,Singapore,legal,Estimated legal status based on general regulations. Verify locally.,travel
