activity,country,legal_status,notes,topic
bring alcohol into a country,Slovakia,legal,Estimated legal status based on general regulations. Verify locally.,travel
bring food into a country,Slovakia,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing cash into a country,Slovakia,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing duty free goods,Slovakia,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing electronics into a country,Slovakia,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing medication into a country,Slovakia,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing tobacco into a country,Slovakia,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing weapons in luggage,Slovakia,illegal,Estimated legal status based on general regulations. Verify locally.,travel
carrying prescription drugs,Slovakia,legal,Estimated legal status based on general regulations. Verify locally.,travel
declaring goods at customs,Slovakia,legal,Estimated legal status based on general regulations. Verify locally.,travel
