activity,country,legal_status,notes,topic
bring alcohol into a country,Slovenia,legal,Estimated legal status based on general regulations. Verify locally.,travel
bring food into a country,Slovenia,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing cash into a country,Slovenia,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing duty free goods,Slovenia,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing electronics into a country,Slovenia,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing medication into a country,Slovenia,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing tobacco into a country,Slovenia,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing weapons in luggage,Slovenia,illegal,Estimated legal status based on general regulations. Verify locally.,travel
carrying prescription drugs,Slovenia,legal,Estimated legal status based on general regulations. Verify locally.,travel
declaring goods at customs,Slovenia,legal,Estimated legal status based on general regulations. Verify locally.,travel
