activity,country,legal_status,notes,topic
bring alcohol into a country,South Africa,legal,Estimated legal status based on general regulations. Verify locally.,travel
bring food into a country,South Africa,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing cash into a country,South Africa,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing duty free goods,South Africa,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing electronics into a country,South Africa,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing medication into a country,South Africa,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing tobacco into a country,South Africa,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing weapons in luggage,South Africa,illegal,Estimated legal status based on general regulations. Verify locally.,travel
carrying prescription drugs,South Africa,legal,Estimated legal status based on general regulations. Verify locally.,travel
declaring goods at customs,South Africa,legal,Estimated legal status based on general regulations. Verify locally.,travel
