activity,country,legal_status,notes,topic
bring alcohol into a country,South Korea,legal,Estimated legal status based on general regulations. Verify locally.,travel
bring food into a country,South Korea,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing cash into a country,South Korea,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing duty free goods,South Korea,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing electronics into a country,South Korea,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing medication into a country,South Korea,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing tobacco into a country,South Korea,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing weapons in luggage,South Korea,illegal,Estimated legal status based on general regulations. Verify locally.,travel
carrying prescription drugs,South Korea,legal,Estimated legal status based on general regulations. Verify locally.,travel
declaring goods at customs,South Korea,legal,Estimated legal status based on general regulations. Verify locally.,travel
