activity,country,legal_status,notes,topic
bring alcohol into a country,Tanzania,legal,Estimated legal status based on general regulations. Verify locally.,travel
bring food into a country,Tanzania,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing cash into a country,Tanzania,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing duty free goods,Tanzania,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing electronics into a country,Tanzania,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing medication into a country,Tanzania,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing tobacco into a country,Tanzania,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing weapons in luggage,Tanzania,illegal,Estimated legal status based on general regulations. Verify locally.,travel
carrying prescription drugs,Tanzania,legal,Estimated legal status based on general regulations. Verify locally.,travel
declaring goods at customs,Tanzania,legal,Estimated legal status based on general regulations. Verify locally.,travel
