activity,country,legal_status,notes,topic
bring alcohol into a country,Turkey,legal,Estimated legal status based on general regulations. Verify locally.,travel
bring food into a country,Turkey,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing cash into a country,Turkey,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing duty free goods,Turkey,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing electronics into a country,Turkey,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing medication into a country,Turkey,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing tobacco into a country,Turkey,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing weapons in luggage,Turkey,illegal,Estimated legal status based on general regulations. Verify locally.,travel
carrying prescription drugs,Turkey,legal,Estimated legal status based on general regulations. Verify locally.,travel
declaring goods at customs,Turkey,legal,Estimated legal status based on general regulations. Verify locally.,travel
