activity,country,legal_status,notes,topic
bring alcohol into a country,Uganda,legal,Estimated legal status based on general regulations. Verify locally.,travel
bring food into a country,Uganda,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing cash into a country,Uganda,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing duty free goods,Uganda,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing electronics into a country,Uganda,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing medication into a country,Uganda,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing tobacco into a country,Uganda,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing weapons in luggage,Uganda,illegal,Estimated legal status based on general regulations. Verify locally.,travel
carrying prescription drugs,Uganda,legal,Estimated legal status based on general regulations. Verify locally.,travel
declaring goods at customs,Uganda,legal,Estimated legal status based on general regulations. Verify locally.,travel
