activity,country,legal_status,notes,topic
bring alcohol into a country,Ukraine,legal,Estimated legal status based on general regulations. Verify locally.,travel
bring food into a country,Ukraine,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing cash into a country,Ukraine,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing duty free goods,Ukraine,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing electronics into a country,Ukraine,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing medication into a country,Ukraine,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing tobacco into a country,Ukraine,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing weapons in luggage,Ukraine,illegal,Estimated legal status based on general regulations. Verify locally.,travel
carrying prescription drugs,Ukraine,legal,Estimated legal status based on general regulations. Verify locally.,travel
declaring goods at customs,Ukraine,legal,Estimated legal status based on general regulations. Verify locally.,travel
