activity,country,legal_status,notes,topic
bring alcohol into a country,Uruguay,legal,Estimated legal status based on general regulations. Verify locally.,travel
bring food into a country,Uruguay,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing cash into a country,Uruguay,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing duty free goods,Uruguay,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing electronics into a country,Uruguay,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing medication into a country,Uruguay,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing tobacco into a country,Uruguay,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing weapons in luggage,Uruguay,illegal,Estimated legal status based on general regulations. Verify locally.,travel
carrying prescription drugs,Uruguay,legal,Estimated legal status based on general regulations. Verify locally.,travel
declaring goods at customs,Uruguay,legal,Estimated legal status based on general regulations. Verify locally.,travel
