activity,country,legal_status,notes,topic
bring alcohol into a country,Vietnam,legal,Estimated legal status based on general regulations. Verify locally.,travel
bring food into a country,Vietnam,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing cash into a country,Vietnam,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing duty free goods,Vietnam,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing electronics into a country,Vietnam,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing medication into a country,Vietnam,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing tobacco into a country,Vietnam,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing weapons in luggage,Vietnam,illegal,Estimated legal status based on general regulations. Verify locally.,travel
carrying prescription drugs,Vietnam,legal,Estimated legal status based on general regulations. Verify locally.,travel
declaring goods at customs,Vietnam,legal,Estimated legal status based on general regulations. Verify locally.,travel
