activity,country,legal_status,notes,topic
drive dangerously,Colombia,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive on footpath,Colombia,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive on pavement,Colombia,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive on sidewalk,Colombia,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive over speed limit,Colombia,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive recklessly,Colombia,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive under influence,Colombia,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive uninsured,Colombia,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive with expired licence,Colombia,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive with expired registration,Colombia,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive without inspection,Colombia,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive without licence,Colombia,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive without MOT,Colombia,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive without plates,Colombia,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive without pollution certificate,Colombia,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive without registration,Colombia,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive without tax,Colombia,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
not wear seatbelt,Colombia,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
use phone while driving,Colombia,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
