activity,country,legal_status,notes,topic
drive dangerously,Dominican Republic,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive on footpath,Dominican Republic,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive on pavement,Dominican Republic,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive on sidewalk,Dominican Republic,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive over speed limit,Dominican Republic,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive recklessly,Dominican Republic,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive under influence,Dominican Republic,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive uninsured,Dominican Republic,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive with expired licence,Dominican Republic,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive with expired registration,Dominican Republic,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive without inspection,Dominican Republic,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive without licence,Dominican Republic,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive without MOT,Dominican Republic,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive without plates,Dominican Republic,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive without pollution certificate,Dominican Republic,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive without registration,Dominican Republic,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive without tax,Dominican Republic,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
not wear seatbelt,Dominican Republic,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
use phone while driving,Dominican Republic,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
