activity,country,legal_status,notes,topic
drive dangerously,Kenya,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive on footpath,Kenya,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive on pavement,Kenya,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive on sidewalk,Kenya,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive over speed limit,Kenya,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive recklessly,Kenya,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive under influence,Kenya,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive uninsured,Kenya,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive with expired licence,Kenya,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive with expired registration,Kenya,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive without inspection,Kenya,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive without licence,Kenya,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive without MOT,Kenya,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive without plates,Kenya,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive without pollution certificate,Kenya,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive without registration,Kenya,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive without tax,Kenya,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
not wear seatbelt,Kenya,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
use phone while driving,Kenya,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
