activity,country,legal_status,notes,topic
drive dangerously,Mongolia,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive on footpath,Mongolia,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive on pavement,Mongolia,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive on sidewalk,Mongolia,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive over speed limit,Mongolia,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive recklessly,Mongolia,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive under influence,Mongolia,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive uninsured,Mongolia,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive with expired licence,Mongolia,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive with expired registration,Mongolia,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive without inspection,Mongolia,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive without licence,Mongolia,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive without MOT,Mongolia,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive without plates,Mongolia,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive without pollution certificate,Mongolia,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive without registration,Mongolia,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive without tax,Mongolia,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
not wear seatbelt,Mongolia,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
use phone while driving,Mongolia,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
