activity,country,legal_status,notes,topic
drive dangerously,Paraguay,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive on footpath,Paraguay,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive on pavement,Paraguay,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive on sidewalk,Paraguay,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive over speed limit,Paraguay,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive recklessly,Paraguay,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive under influence,Paraguay,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive uninsured,Paraguay,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive with expired licence,Paraguay,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive with expired registration,Paraguay,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive without inspection,Paraguay,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive without licence,Paraguay,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive without MOT,Paraguay,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive without plates,Paraguay,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive without pollution certificate,Paraguay,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive without registration,Paraguay,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive without tax,Paraguay,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
not wear seatbelt,Paraguay,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
use phone while driving,Paraguay,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
