activity,country,legal_status,notes,topic
download pirated movies,Albania,illegal,Estimated legal status based on general regulations. Verify locally.,digital-laws
download pirated movies,Algeria,illegal,Estimated legal status based on general regulations. Verify locally.,digital-laws
download pirated movies,Argentina,illegal,Estimated legal status based on general regulations. Verify locally.,digital-laws
download pirated movies,Armenia,illegal,Estimated legal status based on general regulations. Verify locally.,digital-laws
download pirated movies,Australia,illegal,Downloading pirated movies is illegal in Australia under copyright law.,digital-laws
download pirated movies,Austria,illegal,Estimated legal status based on general regulations. Verify locally.,digital-laws
download pirated movies,Azerbaijan,illegal,Estimated legal status based on general regulations. Verify locally.,digital-laws
download pirated movies,Bahrain,illegal,Estimated legal status based on general regulations. Verify locally.,digital-laws
download pirated movies,Bangladesh,illegal,Estimated legal status based on general regulations. Verify locally.,digital-laws
download pirated movies,Belgium,illegal,Estimated legal status based on general regulations. Verify locally.,digital-laws
download pirated movies,Bolivia,illegal,Estimated legal status based on general regulations. Verify locally.,digital-laws
download pirated movies,Bosnia and Herzegovina,illegal,Estimated legal status based on general regulations. Verify locally.,digital-laws
download pirated movies,Brazil,illegal,Estimated legal status based on general regulations. Verify locally.,digital-laws
download pirated movies,Bulgaria,illegal,Estimated legal status based on general regulations. Verify locally.,digital-laws
download pirated movies,Cambodia,illegal,Estimated legal status based on general regulations. Verify locally.,digital-laws
download pirated movies,Canada,illegal,Downloading pirated movies is illegal in Canada under copyright law.,digital-laws
download pirated movies,Chile,illegal,Estimated legal status based on general regulations. Verify locally.,digital-laws
download pirated movies,China,illegal,Estimated legal status based on general regulations. Verify locally.,digital-laws
download pirated movies,Colombia,illegal,Estimated legal status based on general regulations. Verify locally.,digital-laws
download pirated movies,Croatia,illegal,Estimated legal status based on general regulations. Verify locally.,digital-laws
download pirated movies,Cuba,illegal,Estimated legal status based on general regulations. Verify locally.,digital-laws
download pirated movies,Czech Republic,illegal,Estimated legal status based on general regulations. Verify locally.,digital-laws
download pirated movies,Denmark,illegal,Estimated legal status based on general regulations. Verify locally.,digital-laws
download pirated movies,Dominican Republic,illegal,Estimated legal status based on general regulations. Verify locally.,digital-laws
download pirated movies,Egypt,illegal,Estimated legal status based on general regulations. Verify locally.,digital-laws
download pirated movies,Estonia,illegal,Estimated legal status based on general regulations. Verify locally.,digital-laws
download pirated movies,Ethiopia,illegal,Estimated legal status based on general regulations. Verify locally.,digital-laws
download pirated movies,Finland,illegal,Estimated legal status based on general regulations. Verify locally.,digital-laws
download pirated movies,France,illegal,Downloading pirated movies is illegal in France and subject to enforcement.,digital-laws
download pirated movies,Georgia,illegal,Estimated legal status based on general regulations. Verify locally.,digital-laws
download pirated movies,Germany,illegal,Downloading pirated movies is illegal in Germany and often results in enforcement action.,digital-laws
download pirated movies,Ghana,illegal,Estimated legal status based on general regulations. Verify locally.,digital-laws
download pirated movies,Greece,illegal,Estimated legal status based on general regulations. Verify locally.,digital-laws
download pirated movies,Guyana,illegal,Estimated legal status based on general regulations. Verify locally.,digital-laws
download pirated movies,Hong Kong,illegal,Estimated legal status based on general regulations. Verify locally.,digital-laws
download pirated movies,Hungary,illegal,Estimated legal status based on general regulations. Verify locally.,digital-laws
download pirated movies,Iceland,illegal,Estimated legal status based on general regulations. Verify locally.,digital-laws
download pirated movies,India,illegal,Downloading pirated movies is illegal in India and subject to penalties.,digital-laws
download pirated movies,Indonesia,illegal,Estimated legal status based on general regulations. Verify locally.,digital-laws
download pirated movies,Ireland,illegal,Estimated legal status based on general regulations. Verify locally.,digital-laws
download pirated movies,Israel,illegal,Estimated legal status based on general regulations. Verify locally.,digital-laws
download pirated movies,Italy,illegal,Estimated legal status based on general regulations. Verify locally.,digital-laws
download pirated movies,Japan,illegal,Downloading pirated movies is illegal in Japan and can result in serious penalties.,digital-laws
download pirated movies,Jordan,illegal,Estimated legal status based on general regulations. Verify locally.,digital-laws
download pirated movies,Kazakhstan,illegal,Estimated legal status based on general regulations. Verify locally.,digital-laws
download pirated movies,Kenya,illegal,Estimated legal status based on general regulations. Verify locally.,digital-laws
download pirated movies,Kuwait,illegal,Estimated legal status based on general regulations. Verify locally.,digital-laws
download pirated movies,Laos,illegal,Estimated legal status based on general regulations. Verify locally.,digital-laws
download pirated movies,Latvia,illegal,Estimated legal status based on general regulations. Verify locally.,digital-laws
download pirated movies,Lithuania,illegal,Estimated legal status based on general regulations. Verify locally.,digital-laws
download pirated movies,Luxembourg,illegal,Estimated legal status based on general regulations. Verify locally.,digital-laws
download pirated movies,Malaysia,illegal,Estimated legal status based on general regulations. Verify locally.,digital-laws
download pirated movies,Malta,illegal,Estimated legal status based on general regulations. Verify locally.,digital-laws
download pirated movies,Mexico,illegal,Estimated legal status based on general regulations. Verify locally.,digital-laws
download pirated movies,Moldova,illegal,Estimated legal status based on general regulations. Verify locally.,digital-laws
download pirated movies,Mongolia,illegal,Estimated legal status based on general regulations. Verify locally.,digital-laws
download pirated movies,Montenegro,illegal,Estimated legal status based on general regulations. Verify locally.,digital-laws
download pirated movies,Morocco,illegal,Estimated legal status based on general regulations. Verify locally.,digital-laws
download pirated movies,Nepal,illegal,Estimated legal status based on general regulations. Verify locally.,digital-laws
download pirated movies,Netherlands,illegal,Estimated legal status based on general regulations. Verify locally.,digital-laws
download pirated movies,New Zealand,illegal,Estimated legal status based on general regulations. Verify locally.,digital-laws
download pirated movies,Nigeria,illegal,Estimated legal status based on general regulations. Verify locally.,digital-laws
download pirated movies,North Macedonia,illegal,Estimated legal status based on general regulations. Verify locally.,digital-laws
download pirated movies,Norway,illegal,Estimated legal status based on general regulations. Verify locally.,digital-laws
download pirated movies,Oman,illegal,Estimated legal status based on general regulations. Verify locally.,digital-laws
download pirated movies,Pakistan,illegal,Estimated legal status based on general regulations. Verify locally.,digital-laws
download pirated movies,Paraguay,illegal,Estimated legal status based on general regulations. Verify locally.,digital-laws
download pirated movies,Peru,illegal,Estimated legal status based on general regulations. Verify locally.,digital-laws
download pirated movies,Philippines,illegal,Estimated legal status based on general regulations. Verify locally.,digital-laws
download pirated movies,Poland,illegal,Estimated legal status based on general regulations. Verify locally.,digital-laws
download pirated movies,Portugal,illegal,Estimated legal status based on general regulations. Verify locally.,digital-laws
download pirated movies,Qatar,illegal,Estimated legal status based on general regulations. Verify locally.,digital-laws
download pirated movies,Romania,illegal,Estimated legal status based on general regulations. Verify locally.,digital-laws
download pirated movies,Saudi Arabia,illegal,Estimated legal status based on general regulations. Verify locally.,digital-laws
download pirated movies,Serbia,illegal,Estimated legal status based on general regulations. Verify locally.,digital-laws
download pirated movies,Singapore,illegal,Downloading pirated movies is illegal in Singapore and subject to penalties.,digital-laws
download pirated movies,Slovakia,illegal,Estimated legal status based on general regulations. Verify locally.,digital-laws
download pirated movies,Slovenia,illegal,Estimated legal status based on general regulations. Verify locally.,digital-laws
download pirated movies,South Africa,illegal,Estimated legal status based on general regulations. Verify locally.,digital-laws
download pirated movies,South Korea,illegal,Estimated legal status based on general regulations. Verify locally.,digital-laws
download pirated movies,Spain,illegal,Estimated legal status based on general regulations. Verify locally.,digital-laws
download pirated movies,Sri Lanka,illegal,Estimated legal status based on general regulations. Verify locally.,digital-laws
download pirated movies,Suriname,illegal,Estimated legal status based on general regulations. Verify locally.,digital-laws
download pirated movies,Sweden,illegal,Estimated legal status based on general regulations. Verify locally.,digital-laws
download pirated movies,Switzerland,illegal,Estimated legal status based on general regulations. Verify locally.,digital-laws
download pirated movies,Taiwan,illegal,Estimated legal status based on general regulations. Verify locally.,digital-laws
download pirated movies,Tanzania,illegal,Estimated legal status based on general regulations. Verify locally.,digital-laws
download pirated movies,Thailand,illegal,Estimated legal status based on general regulations. Verify locally.,digital-laws
download pirated movies,Tunisia,illegal,Estimated legal status based on general regulations. Verify locally.,digital-laws
download pirated movies,Turkey,illegal,Estimated legal status based on general regulations. Verify locally.,digital-laws
download pirated movies,Uganda,illegal,Estimated legal status based on general regulations. Verify locally.,digital-laws
download pirated movies,Ukraine,illegal,Estimated legal status based on general regulations. Verify locally.,digital-laws
download pirated movies,United Arab Emirates,illegal,Downloading pirated movies is illegal in the UAE and subject to strict penalties.,digital-laws
download pirated movies,United Kingdom,illegal,Downloading copyrighted movies without permission is illegal in the UK.,digital-laws
download pirated movies,United States,illegal,Downloading pirated movies is illegal in the US and can result in heavy fines or lawsuits.,digital-laws
download pirated movies,Uruguay,illegal,Estimated legal status based on general regulations. Verify locally.,digital-laws
download pirated movies,Uzbekistan,illegal,Estimated legal status based on general regulations. Verify locally.,digital-laws
download pirated movies,Venezuela,illegal,Estimated legal status based on general regulations. Verify locally.,digital-laws
download pirated movies,Vietnam,illegal,Estimated legal status based on general regulations. Verify locally.,digital-laws
download pirated movies,Zimbabwe,illegal,Estimated legal status based on general regulations. Verify locally.,digital-laws
gamble online,Albania,restricted,Estimated legal status based on general regulations. Verify locally.,digital-laws
gamble online,Algeria,restricted,Estimated legal status based on general regulations. Verify locally.,digital-laws
gamble online,Argentina,restricted,Estimated legal status based on general regulations. Verify locally.,digital-laws
gamble online,Armenia,restricted,Estimated legal status based on general regulations. Verify locally.,digital-laws
gamble online,Australia,restricted,"Online gambling is partially legal in Australia, with strict restrictions on certain types like online casinos.",digital-laws
gamble online,Austria,restricted,Estimated legal status based on general regulations. Verify locally.,digital-laws
gamble online,Azerbaijan,restricted,Estimated legal status based on general regulations. Verify locally.,digital-laws
gamble online,Bahrain,restricted,Estimated legal status based on general regulations. Verify locally.,digital-laws
gamble online,Bangladesh,restricted,Estimated legal status based on general regulations. Verify locally.,digital-laws
gamble online,Belgium,restricted,Estimated legal status based on general regulations. Verify locally.,digital-laws
gamble online,Bolivia,restricted,Estimated legal status based on general regulations. Verify locally.,digital-laws
gamble online,Bosnia and Herzegovina,restricted,Estimated legal status based on general regulations. Verify locally.,digital-laws
gamble online,Brazil,restricted,Estimated legal status based on general regulations. Verify locally.,digital-laws
gamble online,Bulgaria,restricted,Estimated legal status based on general regulations. Verify locally.,digital-laws
gamble online,Cambodia,restricted,Estimated legal status based on general regulations. Verify locally.,digital-laws
gamble online,Canada,restricted,"Online gambling is regulated at the provincial level in Canada, with some provinces offering legal platforms.",digital-laws
gamble online,Chile,restricted,Estimated legal status based on general regulations. Verify locally.,digital-laws
gamble online,China,restricted,Estimated legal status based on general regulations. Verify locally.,digital-laws
gamble online,Colombia,restricted,Estimated legal status based on general regulations. Verify locally.,digital-laws
gamble online,Croatia,restricted,Estimated legal status based on general regulations. Verify locally.,digital-laws
gamble online,Cuba,restricted,Estimated legal status based on general regulations. Verify locally.,digital-laws
gamble online,Czech Republic,restricted,Estimated legal status based on general regulations. Verify locally.,digital-laws
gamble online,Denmark,restricted,Estimated legal status based on general regulations. Verify locally.,digital-laws
gamble online,Dominican Republic,restricted,Estimated legal status based on general regulations. Verify locally.,digital-laws
gamble online,Egypt,restricted,Estimated legal status based on general regulations. Verify locally.,digital-laws
gamble online,Estonia,restricted,Estimated legal status based on general regulations. Verify locally.,digital-laws
gamble online,Ethiopia,restricted,Estimated legal status based on general regulations. Verify locally.,digital-laws
gamble online,Finland,restricted,Estimated legal status based on general regulations. Verify locally.,digital-laws
gamble online,France,legal,Online gambling is legal in France for licensed operators under strict regulation.,digital-laws
gamble online,Georgia,restricted,Estimated legal status based on general regulations. Verify locally.,digital-laws
gamble online,Germany,legal,Online gambling is legal in Germany under a regulated licensing system.,digital-laws
gamble online,Ghana,restricted,Estimated legal status based on general regulations. Verify locally.,digital-laws
gamble online,Greece,restricted,Estimated legal status based on general regulations. Verify locally.,digital-laws
gamble online,Guyana,restricted,Estimated legal status based on general regulations. Verify locally.,digital-laws
gamble online,Hong Kong,restricted,Estimated legal status based on general regulations. Verify locally.,digital-laws
gamble online,Hungary,restricted,Estimated legal status based on general regulations. Verify locally.,digital-laws
gamble online,Iceland,restricted,Estimated legal status based on general regulations. Verify locally.,digital-laws
gamble online,India,restricted,"Online gambling laws in India vary by state, with some allowing it and others restricting it.",digital-laws
gamble online,Indonesia,restricted,Estimated legal status based on general regulations. Verify locally.,digital-laws
gamble online,Ireland,restricted,Estimated legal status based on general regulations. Verify locally.,digital-laws
gamble online,Israel,restricted,Estimated legal status based on general regulations. Verify locally.,digital-laws
gamble online,Italy,restricted,Estimated legal status based on general regulations. Verify locally.,digital-laws
gamble online,Japan,illegal,"Online gambling is generally illegal in Japan, with only limited exceptions for certain state-controlled activities.",digital-laws
gamble online,Jordan,restricted,Estimated legal status based on general regulations. Verify locally.,digital-laws
gamble online,Kazakhstan,restricted,Estimated legal status based on general regulations. Verify locally.,digital-laws
gamble online,Kenya,restricted,Estimated legal status based on general regulations. Verify locally.,digital-laws
gamble online,Kuwait,restricted,Estimated legal status based on general regulations. Verify locally.,digital-laws
gamble online,Laos,restricted,Estimated legal status based on general regulations. Verify locally.,digital-laws
gamble online,Latvia,restricted,Estimated legal status based on general regulations. Verify locally.,digital-laws
gamble online,Lithuania,restricted,Estimated legal status based on general regulations. Verify locally.,digital-laws
gamble online,Luxembourg,restricted,Estimated legal status based on general regulations. Verify locally.,digital-laws
